Key,CommentID,PostID,UserID,Comment,CreatedAt
1,201,101,2,Great introduction to MongoDB!,2024-08-29T09:05:00Z
2,202,101,3,Looking forward to more MongoDB tips.,2024-08-29T09:20:00Z
3,203,102,4,Excellent guide on Express.js!,2024-08-29T09:35:00Z
4,204,103,5,"This was really helpful, thanks!",2024-08-29T09:50:00Z
5,205,104,6,ES6 features explained well.,2024-08-29T10:05:00Z
6,206,105,7,CSS Grid is a game-changer!,2024-08-29T10:20:00Z
7,207,106,8,The React tutorial was very clear.,2024-08-29T10:35:00Z
8,208,107,9,Python basics well covered.,2024-08-29T10:50:00Z
9,209,108,10,Node.js overview was very useful.,2024-08-29T11:05:00Z
10,210,109,1,Docker tutorial was insightful!,2024-08-29T11:20:00Z
